,Paper Title,Author,Affiliation,Conference,Year,Link to Paper,Link for Code,Available,ReadMe,RepoGoal,TrainedModel,Out-of-box,Runs,Output,Data_Available,Train/test,Reason,Model Used,Hyperparameters,Training Described
149,Towards Plausible Graph Anonymization,"Yang Zhang, Mathias Humbert, Bartlomiej Surma, Praveen Manoharan, Jilles Vreeken, and Michael Backes",0.0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/23032-paper.pdf,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,Gaussian Mixture Model,2.0,2.0
150,"Trident: Efficient 4PC Framework for Privacy
Preserving Machine Learning","Harsh Chaudhari, Rahul Rachuri, and Ajith Suresh",0.0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/23005-paper.pdf,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,"Linear Regression,
Logistic Regression, Neural Networks, and Convolutional Neural
Networks",2.0,2.0
151,"When Malware is Packin’ Heat;
Limits of Machine Learning Classifiers Based on
Static Analysis Features","Hojjat Aghakhani, Fabio Gritti, Francesco Mecca, Martina Lindorfer, Stefano Ortolani, Davide Balzarotti, Giovanni Vigna, and Christopher Kruegel",1.0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24310-paper.pdf,https://github.com/ucsb-seclab/packware,1,2,0,0,0,0,0,7.0,1.0,-1.0,RF,2.0,2.0
152,"Withdrawing the BGP Re-Routing Curtain:
Understanding the Security Impact of BGP Poisoning via Real-World Measurements","Jared M. Smith, Kyle Birkeland, Tyler McDaniel, and Max Schuchard",0.0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24240-paper.pdf,https://github.com/VolSec/active-bgp-measurement,1,0,0,0,0,0,0,7.0,0.0,-1.0,"4 models: 4-layer fullyconnected neural network, decision tree classifier, random
forest ensemble classifier, and support vector machine",1.0,1.0
153,"You Are What You Do: Hunting Stealthy Malware
via Data Provenance Analysis","Qi Wang, Wajih Ul Hassan, Ding Li, Kangkook Jee, Xiao Yu, Kexuan Zou, Junghwan Rhee, Zhengzhang Chen, Wei Cheng, Carl A. Gunter, and Haifeng Chen",2.0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24167-paper.pdf,,0,-1,-1,-1,-1,-1,-1,1.0,-1.0,-1.0,PV-DM model,2.0,2.0
154,Trafﬁcking Fraudulent Accounts: The Role of the Underground Market in Twitter Spam and Abuse,"Kurt Thomas,   Damon McCoy,  Chris Grier,  Alek Kolcz,  Vern Paxson,",1.0,Usenix,2013,https://www.usenix.org/system/files/conference/usenixsecurity13/sec13-paper_thomas.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,1.0,classifier - name unspecified,0.0,1.0
155,"You Are How You Click: Clickstream Analysis
for Sybil Detection","Gang Wang and Tristan Konolige, Christo Wilson,  Xiao Wang , Haitao Zheng and Ben Y. Zhao
",1.0,Usenix,2013,https://www.usenix.org/system/files/conference/usenixsecurity13/sec13-paper_wang_0.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,SVM,0.0,1.0
156,"The Velocity of Censorship: High-Fidelity Detection of Microblog Post
Deletions","Tao Zhu,  David Phipps, Adam Pridgen, Jedidiah R. Crall, Dan S. Wallach",1.0,Usenix,2013,https://www.usenix.org/system/files/conference/usenixsecurity13/sec13-paper_zhu.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,1.0,"NLP, Regression",0.0,0.0
157,On the Security of Picture Gesture Authentication,"Ziming Zhao and Gail-Joon Ahn, Jeong-Jin Seo, Hongxin Hu
",1.0,Usenix,2013,https://www.usenix.org/system/files/conference/usenixsecurity13/sec13-paper_zhao.pdf,,0,-1,-1,-1,-1,-1,-1,8.0,0.0,0.0,haar cascades,-1.0,-1.0
158,"Enabling Fine-Grained Permissions for Augmented 
Reality Applications with Recognizers","Suman Jana, David Molnar and Alexander Moshchuk, Alan Dunn, Benjamin Livshits, Helen J. Wang, and Eyal Ofek
",2.0,Usenix,2013,https://www.usenix.org/system/files/conference/usenixsecurity13/sec13-paper_jana.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,opencv recognizers,0.0,0.0
159,"ExecScent: Mining for New C&C Domains in Live Networks
with Adaptive Control Protocol Templates","Terry Nelms, Roberto Perdisci, Mustaque Ahamad
",1.0,Usenix,2013,https://www.usenix.org/system/files/conference/usenixsecurity13/sec13-paper_nelms.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,2.0,SVM,0.0,1.0
160,I can be You: Questioning the use of Keystroke Dynamics as Biometrics,"Tey Chee Meng, Payas Gupta, Debin Gao",0.0,NDSS,2013,https://www.ndss-symposium.org/wp-content/uploads/2017/09/01_1_0.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,"anomaly detection using euclidean, manhattan distance",0.0,1.0
161,CAMP: Content-Agnostic Malware Protection,"Moheeb Abu Rajab, Lucas Ballard, Noe Lutz, Panayiotis Mavrommatis, Niels Provos",3.0,NDSS,2013,https://www.ndss-symposium.org/wp-content/uploads/2017/09/03_5.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,reputation system,0.0,1.0
162,COMPA: Detecting Compromised Accounts on Social Networks,"Manuel Egele, Gianluca Stringhini, Christopher Kruegel, and Giovanni Vigna",0.0,NDSS,2013,https://www.ndss-symposium.org/wp-content/uploads/2017/09/05_3_0.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,"statistical model, anomaly detection",0.0,2.0
163,KinWrite: Handwriting-Based Authentication Using Kinect,"Jing Tian, Chengzhang Qu, Wenyuan Xu and Song Wang",0.0,NDSS,2013,https://www.ndss-symposium.org/wp-content/uploads/2017/09/10_2_0.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,Hidden Markov Models (HMM),0.0,2.0
164,"Shady Paths: Leveraging Surfing Crowds to Detect
Malicious Web Pages","Gianluca Stringhini, Christopher Kruegel, and Giovanni Vigna",0.0,CCS,2013,https://dl.acm.org/doi/pdf/10.1145/2508859.2516682,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,SVM on weka,0.0,1.0
165,"Quantifying the Security of Graphical Passwords:
The Case of Android Unlock Patterns","Sebastian Uellenbeck, Markus Dürmuth, Christopher Wolf, and Thorsten Holz",0.0,CCS,2013,https://dl.acm.org/doi/pdf/10.1145/2508859.2516700,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,Markov models,0.0,2.0
166,Measuring Password Guessability for an Entire University,"Michelle L. Mazurek, Saranga Komanduri, Timothy Vidas, Lujo Bauer,
Nicolas Christin, Lorrie Faith Cranor, Patrick Gage Kelley?
, Richard Shay, and Blase Ur",0.0,CCS,2013,https://dl.acm.org/doi/pdf/10.1145/2508859.2516726,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,cox regression,0.0,0.0
167,"Configuration-based IDS for Advanced Metering
Infrastructure",Muhammad Qasim Ali and Ehab Al-Shaer,0.0,CCS,2013,https://dl.acm.org/doi/pdf/10.1145/2508859.2516745,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,2.0,markov chain,0.0,0.0
168,When Kids’ Toys Breach Mobile Phone Security,Abdul Serwadda and Vir V. Phoha,0.0,CCS,2013,https://dl.acm.org/doi/pdf/10.1145/2508859.2516659,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,"SVM, kNN",0.0,2.0
169,"Düppel: Retrofitting Commodity Operating Systems to
Mitigate Cache Side Channels in the Cloud","Yinqian Zhang, Michael K. Reiter",0.0,CCS,2013,https://dl.acm.org/doi/pdf/10.1145/2508859.2516741,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,SVM,0.0,1.0
170,"Tappan Zee (North) Bridge: Mining Memory Accesses for
Introspection","Brendan Dolan-Gavitt, Tim Leek, Josh Hodosh, Wenke Lee",0.0,CCS,2013,https://dl.acm.org/doi/pdf/10.1145/2508859.2516697,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,k-means,0.0,1.0
171,The Robustness of Hollow CAPTCHAs,"Haichang Gao, Wei Wang, Jiao Qi,
Xuqin Wang, Xiyang Liu, Jeff Yan",0.0,CCS,2013,https://dl.acm.org/doi/pdf/10.1145/2508859.2516732,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,CNN,0.0,1.0
172,Hiding Information in Flash Memory,"Yinglei Wang, Wing-kei Yu, Sarah Q. Xu, Edwin Kan, and G. Edward Suh",0.0,S&P,2013,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6547115,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,SVM,0.0,0.0
173,Privacy-Preserving Ridge Regression on Hundreds of Millions of Records,"Valeria Nikolaenko, Udi Weinsberg, Stratis Ioannidis, Marc Joye, Dan Boneh, Nina Taft",2.0,S&P,2013,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6547119,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,Ridge regression,0.0,0.0
174,A Scanner Darkly: Protecting User Privacy From Perceptual Applications,"Suman Jana, Arvind Narayanan, Vitaly Shmatikov",0.0,S&P,2013,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6547120,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,OpenCV applications,0.0,0.0
175,"CALM: Consistent Adaptive Local Marginal for
Marginal Release under Local Differential Privacy","Zhikun Zhang, Tianhao Wang, Ninghui Li, Shibo He, Jiming Chen",0.0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243742,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,SVM (used for comparison),0.0,2.0
176,MVG Mechanism: Differential Privacy under Matrix-Valued Query,"Thee Chanyaswad, Alex Dytso, H. Vincent Poor, Prateek Mittal",0.0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243750,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,Kernel ridge regression,0.0,0.0
177,HyCC: Compilation of Hybrid Protocols for Practical Secure Computation,"Niklas Büscher, Daniel Demmler, Stefan Katzenbeisser, David Kretzmer, Thomas Schneider",0.0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243786,https://gitlab.com/securityengineering/HyCC,1,2,0,0,1,1,1,4.0,1.0,-1.0,CNN,1.0,0.0
178,HoMonit: Monitoring Smart Home Apps from Encrypted Traffic,"Wei Zhang, Yan Meng, Yugeng Liu, Xiaokuan Zhang, Yinqian Zhang, Haojin Zhu",0.0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243820,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,NLP,0.0,1.0
179,Asking for a Friend: Evaluating Response Biases in Security User Studies,"Elissa M. Redmiles, Ziyun Zhu, Sean Kross, Dhruv Kuchhal, Tudor Dumitras, Michelle L. Mazurek",0.0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243740,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,logistic regression,0.0,0.0
180,"PrinTracker: Fingerprinting 3D Printers using Commodity
Scanners","Zhengxiong Li, Aditya Singh Rathore, Chen Song, Sheng Wei, Yanzhi Wang, Wenyao Xu",0.0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243735,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,"SVM, KNN",0.0,1.0
181,"The Web’s Sixth Sense:
A Study of Scripts Accessing Smartphone Sensors","Anupam Das, Gunes Acar, Nikita Borisov, Amogh Pradeep",0.0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243860,https://databank.illinois.edu/datasets/IDB-9213932,0,-1,-1,-1,-1,-1,-1,1.0,1.0,-1.0,"Random forest, DBSCAN",0.0,1.0
182,Measuring Information Leakage in Website Fingerprinting Attacks and Defenses,"Shuai Li, Huajun Guo, Nicholas Hopper",,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243832,https://github.com/s0irrlor7m/InfoLeakWebsiteFingerprint,1,1,0,0,0,0,0,0.0,-1.0,0.0,KNN classifier,0.0,0.0
183,"Sonar: Detecting SS7 Redirection Attacks With
Audio-Based Distance Bounding","Christian Peeters, Hadi Abdullah, Nolen Scaife, Jasmine Bowers,
Patrick Traynor, Bradley Reaves, Kevin Butler",0.0,S&P,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8418624,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,customized SVM,0.0,0.0
184,"Routing Around Congestion
Defeating DDoS Attacks and Adverse Network Conditions
via Reactive BGP Routing","Jared M. Smith, Max Schuchard",0.0,S&P,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8418626,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,Decision tree classifier,0.0,0.0
185,Angora: Efficient Fuzzing by Principled Search,"Peng Chen, Hao Chen",0.0,S&P,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8418633,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,Gradient descent,0.0,0.0
186,"rtCaptcha: A Real-Time CAPTCHA Based Liveness
Detection System","Erkam Uzun, Simon Pak Ho Chung, Irfan Essa and Wenke Lee",0.0,NDSS,2018,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_01B-4_Uzun_paper.pdf,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,Markov model (pre-trained disctionary),0.0,0.0
187,A Security Analysis of Honeywords,"Ding Wang, Haibo Cheng, Ping Wang, Jeff Yan, Xinyi Huang",0.0,NDSS,2018,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_02B-2_Wang_paper.pdf,https://github.com/pkusec/rethinking-honeywords,1,2,1,1,1,1,1,1.0,1.0,-1.0,"PCFG, Markov",0.0,2.0
188,Device Pairing at the Touch of an Electrode,"Marc Roeschlin, Ivan Martinovic, Kasper Bonne Rasmussen",0.0,NDSS,2018,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_03B-4_Roeschlin_paper.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,SVM,0.0,0.0
189,"Face Flashing: a Secure Liveness Detection Protocol
based on Light Reflections","Di Tang, Zhe Zhou, Yinqian Zhang, Kehuan Zhang",0.0,NDSS,2018,"https://arxiv.org/pdf/1801.01949.pdf#:~:text=A%20new%20liveness%20detection%20protocol%2C%20Face%20Flashing.,to%20forge%20responses%20during%20authentication.",,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,"Linear regression, neural network",2.0,2.0
190,"De-anonymization of Mobility Trajectories:
Dissecting the Gaps between Theory and Practice","Huandong Wang, Chen Gao, Yong Li, Gang Wang, Depeng Jin, and Jingbo Sun",0.0,NDSS,2018,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_06B-3_Wang_paper.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,1.0,gaussian and Markov based model,-1.0,-1.0
191,"Forgetting of Passwords:
Ecological Theory and Data","Xianyi Gao, Yulong Yang, Can Liu, Christos Mitropoulos, and Janne Lindqvist",0.0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-gao.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,pretrained neural networks,0.0,0.0
192,"Towards Predicting Efficient and
Anonymous Tor Circuits","Armon Barton, Mohsen Imani, and Jiang Ming",0.0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-barton.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,"k-nn, random forest classifier",0.0,1.0
193,"Unveiling and Quantifying Facebook 
Exploitation of Sensitive Personal Data
for Advertising Purposes","José González Cabañas, Ángel Cuevas, and Rubén Cuevas",0.0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-cabanas.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,1.0,"NLP, CNN",0.0,1.0
194,"Saql: A Stream-based Query System for Real-Time 
Abnormal System Behavior Detection","Peng Gao, Xusheng Xiao, Ding Li, Zhichun Li, Kangkook Jee, Zhenyu Wu, and Chung Hwan Kim",1.0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-gao_0.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,DBSCAN,0.0,0.0
195,"From Patching Delays to Infection Symptoms:
Using Risk Profiles for an Early Discovery of 
Vulnerabilities Exploited in the Wild","Chaowei Xiao and Armin Sarabi, Yang Liu, Bo Li, Mingyan Liu, Tudor Dumitras",0.0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-xiao.pdf,,0,-1,-1,-1,-1,-1,-1,1.0,0.0,-1.0,"SVM, Random Forests, neural network classifiers",2.0,2.0
196,"Plug and Prey? Measuring the Commoditization of
Cybercrime via Online Anonymous Markets","Rolf van Wegberg and Samaneh Tajalizadehkhoob, Kyle Soska, Ugur Akyazi, Carlos Hernandez Ganan, and Bram Klievink, Nicolas Christin, Michel van Eeten",0.0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-van_wegberg.pdf,,0,-1,-1,-1,-1,-1,-1,1.0,0.0,-1.0,SVM,0.0,1.0
197,"From WHOIS to WHOWAS: A Large-Scale
Measurement Study of Domain Registration Privacy
under the GDPR","Chaoyi Lu, Baojun Liu, Yiming Zhang, Zhou Li, Fenglu Zhang, Haixin Duan,Ying Liu, Joann Qiongna Chen, Jinjin Liang, Zaifeng Zhang, Shuang Hao and Min Yang",1.0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_2A-2_23134_paper.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,2.0,DBSCAN,1.0,1.0
198,"Deceptive Deletions for Protecting Withdrawn Posts
on Social Media Platforms","Mohsen Minaei, S Chandra Mouli, Mainack Mondal, Bruno Ribeiro, Aniket Kate",1.0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_3A-2_23139_paper.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,BERT(NLP) model,2.0,2.0
199,SquirRL: Automating Attack Analysis on Blockchain Incentive Mechanisms with Deep Reinforcement Learning,"Charlie Hou, Mingxun Zhou, Yan Ji, Phil Daian, Florian Tramer, Giulia Fanti, Ari Juels",0.0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_3C-4_24188_paper.pdf,https://github.com/wuwuz/SquirRL,1,1,0,0,0,0,0,4.0,1.0,-1.0,Reinforcement learning,2.0,2.0
200,Screen Gleaning: A Screen Reading TEMPEST Attack on Mobile Devices Exploiting an Electromagnetic Side Channel,"Zhuoran Liu, Niels Samwel, Leo Weissbart, Zhengyu Zhao, Dirk Lauret, Lejla Batina and Martha Larson",0.0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_4B-2_23021_paper.pdf,https://github.com/cescalab/screen_gleaning,1,2,0,1,0,2,0,1.0,1.0,-1.0,CNN Classifier,2.0,2.0
201,"Hey Alexa, is this Skill Safe?: Taking a Closer Look
at the Alexa Skill Ecosystem","Christopher Lentzsch, Sheel Jayesh Shah, Benjamin Andow, Martin Degeling, Anupam Das and William Enck",1.0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_5A-1_23111_paper.pdf,https://github.com/alexa-skill-analysis-org/alexa-skill-analysis-org,0,-1,-1,-1,-1,-1,-1,1.0,0.0,-1.0,SVM,0.0,1.0
202,"A Side Journey To Titan
Revealing and Breaking NXP’s P5x ECDSA Implementation on the Way","Thomas Roche, Victor Lomné, Camille Mutschler, and Laurent Imbert",2.0,Usenix,2021,https://www.usenix.org/system/files/sec21-roche.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,Expectation-Maximization clustering,0.0,0.0
203,PriSEC: A Privacy Settings Enforcement Controller,"Rishabh Khandelwal and Thomas Linden, Hamza Harkous",1.0,Usenix,2021,https://www.usenix.org/system/files/sec21-khandelwal.pdf,https://github.com/wi-pi/prisec_data,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,neural network binary classifier,1.0,0.0
204,Incrementally Updateable Honey Password Vaults,"Haibo Cheng, Wenting Li, and Ping Wang, Peking University; Chao-Hsien Chu, 
Pennsylvania State University; Kaitai Liang, Delft University of Technology",0.0,Usenix,2021,https://www.usenix.org/system/files/sec21-cheng-haibo.pdf,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,markov model,0.0,1.0
205,PrivSyn: Differentially Private Data Synthesis,"Zhikun Zhang, Tianhao Wang, Ninghui Li, and Jean Honorio, Michael Backes,  Shibo He and Jiming Chen, Alibaba-Zhejiang, Yang Zhang",0.0,Usenix,2021,https://www.usenix.org/system/files/sec21-zhang-zhikun.pdf,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,SVM,2.0,2.0
206,Evil Under the Sun: Understanding and Discovering Attacks on Ethereum Decentralized Applications,"Liya Su, Xinyue Shen, Xiangyu Du, Xiaojing Liao, XiaoFeng Wang, Luyi Xing, Baoxu Liu",0.0,Usenix,2021,https://www.usenix.org/system/files/sec21-su.pdf,https://drive.google.com/drive/folders,8,-1,-1,-1,-1,-1,-1,0.0,-1.0,,"LSTM, MLP",2.0,0.0
207,"Fantastic Four: Honest-Majority Four-Party Secure 
Computation With Malicious Security",Anders Dalskov; Daniel Escudero; Marcel Keller,2.0,Usenix,2021,https://www.usenix.org/system/files/sec21-dalskov.pdf,https://github.com/data61/MP-SPDZ,6,2,2,0,1,3,0,4.0,1.0,-1.0,"DNN, logistic regression, ImageNet, ResNet",2.0,2.0
208,"Android SmartTVs Vulnerability Discovery via
Log-Guided Fuzzing","Yousra Aafer, Wei You, Yi Sun, Yu Shi, and Xiangyu Zhang, Heng Yin",0.0,Usenix,2021,https://www.usenix.org/system/files/sec21-aafer.pdf,https://sites.google.com/site/smarttvdemos/,8,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,CNN Classifier,0.0,1.0
209,"Prime+Probe 1, JavaScript 0:
Overcoming Browser-based Side-Channel Defenses","Anatoly Shusterman, Ayush Agarwal, Sioli O’Connell, Daniel Genkin, Yossi Oren, Yuval Yarom",1.0,Usenix,2021,https://www.usenix.org/system/files/sec21-shusterman.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,deep learning classifier,2.0,2.0
210,Research on the Security of Visual Reasoning CAPTCHA,"Yipeng Gao, Haichang Gao, Sainan Luo, Yang Zi, Shudong Zhang, Wenjie Mao, 
Ping Wang, and Yulong Shen, Xidian University; Jeff Yan, Linköping University",0.0,Usenix,2021,https://www.usenix.org/system/files/sec21-gao.pdf,,0,-1,-1,-1,-1,-1,-1,4.0,0.0,0.0,"LSTM, CNN",2.0,2.0
211,"Balboa: Bobbing and Weaving around
Network Censorship","Marc B. Rosen, James Parker, and Alex J. Malozemoff",3.0,Usenix,2021,https://www.usenix.org/system/files/sec21-rosen.pdf,https://github.com/GaloisInc/balboa,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,classifier,0.0,0.0
212,Chunk-Level Password Guessing: Towards Modeling Refined Password Composition Representations,"Ming Xu, Chuanwang Wang, Jitao Yu, Junjie Zhang, Kai Zhang, Weili Han",0.0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484743,https://github.com/snow0011/CKL_PSM/tree/main,1,2,1,0,0,0,0,7.0,0.0,-1.0,"Markov, PCFG, LSTM",2.0,2.0
213,Doubly Efficient Interactive Proofs for General Arithmetic Circuits with Linear Prover Time,"Jiaheng Zhang', 'Tianyi Liu', 'Weijie Wang', 'Yinuo Zhang', 'Dawn Song', 'Xiang Xie', 'Yupeng Zhang'",0.0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484767,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,CNN,2.0,2.0
214,"FakeWake: Understanding and Mitigating Fake Wake-up Words
of Voice Assistants","Yanjiao Chen', 'Yijie Bai', 'Richard Mitev', 'Kaibo Wang', 'Ahmad-Reza Sadeghi', 'Wenyuan Xu'",0.0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3485365,,0,-1,-1,-1,-1,-1,-1,4.0,0.0,-1.0,"tree-based binarry classifier, gradient boosting classifier",0.0,0.0
215,"I Can See the Light: Attacks on Autonomous Vehicles Using
Invisible Lights","Wei Wang, Yao Yao, Xin Liu, Xiang Li, Pei Hao, Ting Zhu",1.0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484766,,0,-1,-1,-1,-1,-1,-1,3.0,0.0,-1.0,CNN,1.0,1.0
216,"The One-Page Setting: A Higher Standard for Evaluating Website
Fingerprinting Defenses",Tao Wang,0.0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484790,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,"k-FP, CUMUL,DF models based on random forests, SVM, CNN",0.0,1.0
217,"ZKCPlus: Optimized Fair-exchange Protocol
Supporting Practical and Flexible Data Exchange","Yun Li, Cun Ye, Yuguang Hu, Ivring Morpheus, Yu Guo, Chao Zhang, Yupeng Zhang, Zhipeng Sun, Yiwen Lu, Haodi Wang",3.0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484558,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,CNN,0.0,1.0
218,"The Effect of Google Search on Software Security:
Unobtrusive Security Interventions via Content Re-ranking","Felix Fischer, Yannick Stachelscheid, Jens Grossklags",0.0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484763,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,"DNN, DBSCAN",0.0,1.0
219,"Locating the Security Patches for Disclosed OSS Vulnerabilities
with Vulnerability-Commit Correlation Ranking","Xin Tan, Yuan Zhang, Chenyuan Mi, Jiajun Cao, Kun Sun, Yifan Lin, Min Yang",0.0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484593,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,-1.0,RankNet model,1.0,1.0
220,PEGASUS: Bridging Polynomial and Non-polynomial Evaluations in Homomorphic Encryption,"Wen-jie Lu, Zhicong Huang, Cheng Hong, Yiping Ma and Hunter Qu",2.0,S&P,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519408,https://github.com/Alibaba-Gemini-Lab/OpenPEGASUS,1,1,1,0,1,3,0,4.0,-1.0,-1.0,"descision trees, k-means clustering",2.0,-1.0
221,SoK: Fully Homomorphic Encryption Compilers,"Alexander Viand', 'Patrick Jattke', 'Anwar Hithnawi'",0.0,S&P,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519484,https://github.com/MarbleHE/SoK,1,2,1,0,1,3,0,4.0,1.0,-1.0,"MLP, CNN",1.0,0.0
222,WHYPER: Towards Automating Risk Assessment  of Mobile Applications,"Rahul Pandita, Xusheng Xiao, Wei Yang, William Enck, and Tao Xie,  ",0.0,Usenix,2013,https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/pandita,,0,-1,-1,-1,-1,-1,-1,0.0,-1.0,-1.0,NLP,0.0,0.0
